obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 5.0, 604042, 82478, 16306, 16010, 16634, 16356, 6895, 1917, NA, NA, 2.00, 760638,  X*
2, 6.0, 773816, 48339, 1778, 12379, 21323, 28751, 6719, 7160, NA, NA, 1.46, 900265,  X*
3, 7.0, 176993, 46204, 7459, 5558, 5437, 1803, 2967, 1134, NA, NA, 1.58, 247555,  X*
4, 8.0, 60514, 52925, 5823, 5113, 4532, 2629, 3798, 2279, 34, 38, 1.53, 137613,  X*
5, 9.0, 119183, 77743, 3576, 24228, 36293, 6593, 3809, 2948, 30, 47, 1.59, 274373,  X*
6, 10.0, 650919, 796288, 92952, 78762, 87891, 60879, 33046, 13555, 27, 47, 1.58, 1814292,  X*
7, 11.0, 296021, 99315, 8416, 3012, 1884, 4541, 7669, 5287, 23, 34, 1.58, 426145,  X*
8, 12.0, 565303, 398229, 151616, 18796, 36998, 18561, 6660, 6867, 21, 56, 1.86, 1203030,  X*
9, 13.0, 515089, 44821, 8981, 13931, 11649, 13976, 18537, 5062, 29, 66, 1.79, 632046,  X*
10, 14.0, 1466842, 89567, 19560, 25718, 20803, 14537, 12539, 3913, 35, 88, 1.77, 1653479,  X*
11, 15.0, 99153, 50973, 10013, 6998, 3077, 2641, 2729, 1791, 34, 100, 1.76, 177375,  X*
12, 16.0, 556724, 65463, 23261, 17629, 13721, 22054, 6729, 6522, 48, 100, 1.93, 712103,  X*
13, 17.0, 121416, 114881, 2610, 2167, 3941, 3910, 3013, 1740, 34, 83, 1.49, 253678,  X*
14, 18.0, 291086, 28560, 11123, 10232, 5929, 9029, 2252, 1635, 38, 84, 1.76, 359846,  X*
15, 19.0, 539412, 141148, 19766, 12656, 21395, 12667, 7974, 8639, 43, 77, 1.69, 763657,  X*
16, 20.0, 238189, 19932, 14117, 1092, 4225, 5606, 1617, 816, 41, 77, 1.74, 285594,  X*
17, 21.0, 1606747, 59704, 35929, 11848, 19165, 14533, 6170, 5106, 51, 100, 1.79, 1759202,  X*
18, 22.0, 130237, 7538, 9671, 3037, 2256, 9874, 2983, 722, 60, 100, 1.96, 166318,  X*
19, 23.0, 249973, 80318, 18871, 13453, 16734, 13803, 4841, 2215, 64, 100, 1.93, 400208,  X*
20, 24.0, 96218, 20110, 4099, 2589, 2807, 3617, 1437, 1144, 63, 100, 1.97, 132021,  X*
